version,table,ordinal,column,type,nullable,is_pk
v5.2,ADG_DETAIL,1,ADG_ID,varchar(20),0,1
v5.2,ADG_DETAIL,2,EFFECTIVEDATE,datetime,0,1
v5.2,ADG_DETAIL,3,VERSION_DATETIME,datetime,0,1
v5.2,ADG_DETAIL,4,ADG_TYPE,varchar(20),1,0
v5.2,ADG_DETAIL,5,AUTHORISEDDATE,datetime,1,0
v5.2,ADG_DETAIL,6,AUTHORISEDBY,varchar(15),1,0
v5.2,ADG_DETAIL,7,LASTCHANGED,datetime,1,0
v5.2,AGGREGATE_DISPATCH_GROUP,1,ADG_ID,varchar(20),0,1
v5.2,AGGREGATE_DISPATCH_GROUP,2,COMMENTS,varchar(100),1,0
v5.2,AGGREGATE_DISPATCH_GROUP,3,LASTCHANGED,datetime,1,0
v5.2,ANCILLARY_RECOVERY_SPLIT,1,EFFECTIVEDATE,datetime,0,1
v5.2,ANCILLARY_RECOVERY_SPLIT,2,VERSIONNO,"numeric(3,0)",0,1
v5.2,ANCILLARY_RECOVERY_SPLIT,3,SERVICE,varchar(10),0,1
v5.2,ANCILLARY_RECOVERY_SPLIT,4,PAYMENTTYPE,varchar(20),0,1
v5.2,ANCILLARY_RECOVERY_SPLIT,5,CUSTOMER_PORTION,"numeric(8,5)",1,0
v5.2,ANCILLARY_RECOVERY_SPLIT,6,LASTCHANGED,datetime,1,0
v5.2,APCCOMP,1,APCID,varchar(10),0,1
v5.2,APCCOMP,2,REGIONID,varchar(10),1,0
v5.2,APCCOMP,3,STARTDATE,datetime,1,0
v5.2,APCCOMP,4,STARTPERIOD,"numeric(3,0)",1,0
v5.2,APCCOMP,5,ENDDATE,datetime,1,0
v5.2,APCCOMP,6,ENDPERIOD,"numeric(3,0)",1,0
v5.2,APCCOMP,7,LASTCHANGED,datetime,1,0
v5.2,APCCOMPAMOUNT,1,APCID,varchar(10),0,1
v5.2,APCCOMPAMOUNT,2,PARTICIPANTID,varchar(10),0,1
v5.2,APCCOMPAMOUNT,3,VERSIONNO,"numeric(3,0)",0,1
v5.2,APCCOMPAMOUNT,4,PERIODID,"numeric(6,0)",0,1
v5.2,APCCOMPAMOUNT,5,AMOUNT,"numeric(15,5)",1,0
v5.2,APCCOMPAMOUNT,6,LASTCHANGED,datetime,1,0
v5.2,APCCOMPAMOUNTTRK,1,APCID,varchar(10),0,1
v5.2,APCCOMPAMOUNTTRK,2,VERSIONNO,"numeric(3,0)",0,1
v5.2,APCCOMPAMOUNTTRK,3,AUTHORISEDBY,varchar(10),1,0
v5.2,APCCOMPAMOUNTTRK,4,AUTHORISEDDATE,datetime,1,0
v5.2,APCCOMPAMOUNTTRK,5,LASTCHANGED,datetime,1,0
v5.2,APEVENT,1,APEVENTID,"numeric(22,0)",0,1
v5.2,APEVENT,2,EFFECTIVEFROMINTERVAL,datetime,1,0
v5.2,APEVENT,3,EFFECTIVETOINTERVAL,datetime,1,0
v5.2,APEVENT,4,REASON,varchar(2000),1,0
v5.2,APEVENT,5,STARTAUTHORISEDBY,varchar(15),1,0
v5.2,APEVENT,6,STARTAUTHORISEDDATE,datetime,1,0
v5.2,APEVENT,7,ENDAUTHORISEDBY,varchar(15),1,0
v5.2,APEVENT,8,ENDAUTHORISEDDATE,datetime,1,0
v5.2,APEVENT,9,LASTCHANGED,datetime,1,0
v5.2,APEVENTREGION,1,APEVENTID,"numeric(22,0)",0,1
v5.2,APEVENTREGION,2,REGIONID,varchar(10),0,1
v5.2,APEVENTREGION,3,LASTCHANGED,datetime,1,0
v5.2,APEVENTREGION,4,ENERGYAPFLAG,"numeric(1,0)",1,0
v5.2,APEVENTREGION,5,RAISE6SECAPFLAG,"numeric(1,0)",1,0
v5.2,APEVENTREGION,6,RAISE60SECAPFLAG,"numeric(1,0)",1,0
v5.2,APEVENTREGION,7,RAISE5MINAPFLAG,"numeric(1,0)",1,0
v5.2,APEVENTREGION,8,RAISEREGAPFLAG,"numeric(1,0)",1,0
v5.2,APEVENTREGION,9,LOWER6SECAPFLAG,"numeric(1,0)",1,0
v5.2,APEVENTREGION,10,LOWER60SECAPFLAG,"numeric(1,0)",1,0
v5.2,APEVENTREGION,11,LOWER5MINAPFLAG,"numeric(1,0)",1,0
v5.2,APEVENTREGION,12,LOWERREGAPFLAG,"numeric(1,0)",1,0
v5.2,APEVENTREGION,13,RAISE1SECAPFLAG,"numeric(3,0)",1,0
v5.2,APEVENTREGION,14,LOWER1SECAPFLAG,"numeric(3,0)",1,0
v5.2,AUCTION,1,AUCTIONID,varchar(30),0,1
v5.2,AUCTION,2,AUCTIONDATE,datetime,1,0
v5.2,AUCTION,3,NOTIFYDATE,datetime,1,0
v5.2,AUCTION,4,STARTDATE,datetime,1,0
v5.2,AUCTION,5,ENDDATE,datetime,1,0
v5.2,AUCTION,6,DESCRIPTION,varchar(100),1,0
v5.2,AUCTION,7,AUTHORISEDDATE,datetime,1,0
v5.2,AUCTION,8,AUTHORISEDBY,varchar(30),1,0
v5.2,AUCTION,9,LASTCHANGED,datetime,1,0
v5.2,AUCTION_CALENDAR,1,CONTRACTYEAR,"numeric(4,0)",0,1
v5.2,AUCTION_CALENDAR,2,QUARTER,"numeric(1,0)",0,1
v5.2,AUCTION_CALENDAR,3,STARTDATE,datetime,1,0
v5.2,AUCTION_CALENDAR,4,ENDDATE,datetime,1,0
v5.2,AUCTION_CALENDAR,5,NOTIFYDATE,datetime,1,0
v5.2,AUCTION_CALENDAR,6,PAYMENTDATE,datetime,1,0
v5.2,AUCTION_CALENDAR,7,RECONCILIATIONDATE,datetime,1,0
v5.2,AUCTION_CALENDAR,8,LASTCHANGED,datetime,1,0
v5.2,AUCTION_CALENDAR,9,PRELIMPURCHASESTMTDATE,datetime,1,0
v5.2,AUCTION_CALENDAR,10,PRELIMPROCEEDSSTMTDATE,datetime,1,0
v5.2,AUCTION_CALENDAR,11,FINALPURCHASESTMTDATE,datetime,1,0
v5.2,AUCTION_CALENDAR,12,FINALPROCEEDSSTMTDATE,datetime,1,0
v5.2,AUCTION_IC_ALLOCATIONS,1,CONTRACTYEAR,"numeric(4,0)",0,1
v5.2,AUCTION_IC_ALLOCATIONS,2,QUARTER,"numeric(1,0)",0,1
v5.2,AUCTION_IC_ALLOCATIONS,3,VERSIONNO,"numeric(3,0)",0,1
v5.2,AUCTION_IC_ALLOCATIONS,4,INTERCONNECTORID,varchar(10),0,1
v5.2,AUCTION_IC_ALLOCATIONS,5,FROMREGIONID,varchar(10),0,1
v5.2,AUCTION_IC_ALLOCATIONS,6,MAXIMUMUNITS,"numeric(5,0)",1,0
v5.2,AUCTION_IC_ALLOCATIONS,7,PROPORTION,"numeric(8,5)",1,0
