table,lifecycle_class,first_month,last_month,months_present,gap_months,span_months,dvd_era,archive_era
ADG_DETAIL,ADDED_AT_CUTOVER,202408,202603,20,0,20,no,yes
AGGREGATE_DISPATCH_GROUP,ADDED_AT_CUTOVER,202408,202603,20,0,20,no,yes
ANCILLARY_RECOVERY_SPLIT,ALWAYS_PRESENT,201501,202603,135,0,135,yes,yes
APEVENT,INTERMITTENT,201510,202603,33,93,126,yes,yes
APEVENTREGION,INTERMITTENT,201510,202603,33,93,126,yes,yes
AUCTION,INTERMITTENT,201503,202603,92,41,133,yes,yes
AUCTION_CALENDAR,INTERMITTENT,201501,202603,60,75,135,yes,yes
AUCTION_IC_ALLOCATIONS,INTERMITTENT,201501,202603,92,43,135,yes,yes
AUCTION_TRANCHE,INTERMITTENT,201501,202603,48,87,135,yes,yes
AVERAGEPRICE30,ADDED_AT_CUTOVER,202408,202603,20,0,20,no,yes
BIDDAYOFFER,ALWAYS_PRESENT,201501,202603,135,0,135,yes,yes
BIDDAYOFFER_D,INTERMITTENT,201501,202603,94,41,135,yes,yes
BIDDUIDDETAILS,ALWAYS_PRESENT,201501,202603,135,0,135,yes,yes
BIDDUIDDETAILSTRK,ALWAYS_PRESENT,201501,202603,135,0,135,yes,yes
BIDOFFERPERIOD,ADDED_AT_CUTOVER,202408,202603,20,0,20,no,yes
BIDPEROFFER,INTERMITTENT,201501,202205,88,1,89,yes,no
BIDPEROFFER1,RETIRED_AT_CUTOVER,202206,202407,26,0,26,yes,no
BIDPEROFFER2,RETIRED_AT_CUTOVER,202206,202407,26,0,26,yes,no
BIDPEROFFER_D,INTERMITTENT,201501,202603,94,41,135,yes,yes
BIDTYPES,ALWAYS_PRESENT,201501,202603,135,0,135,yes,yes
BIDTYPESTRK,ALWAYS_PRESENT,201501,202603,135,0,135,yes,yes
BILLINGCALENDAR,ALWAYS_PRESENT,201501,202603,135,0,135,yes,yes
BILLINGDAYTRK,ALWAYS_PRESENT,201501,202603,135,0,135,yes,yes
BILLINGREGIONEXPORTS,INTERMITTENT,201501,202603,134,1,135,yes,yes
BILLINGREGIONFIGURES,INTERMITTENT,201501,202603,134,1,135,yes,yes
BILLINGREGIONIMPORTS,INTERMITTENT,201501,202603,134,1,135,yes,yes
BILLINGRUNTRK,ALWAYS_PRESENT,201501,202603,135,0,135,yes,yes
BILLING_CO2E_PUBLICATION,INTERMITTENT,201501,202603,134,1,135,yes,yes
