table,version,action,package,visibility,source,note
ADG_DETAIL,v5.2,MODIFIED,PARTICIPANT_REGISTRATION,,upgrade-report,
AGGREGATE_DISPATCH_GROUP,v5.2,MODIFIED,PARTICIPANT_REGISTRATION,,upgrade-report,
ANCILLARY_RECOVERY_SPLIT,v5.3,MODIFIED,SETTLEMENT_CONFIG,,upgrade-report,
APEVENTREGION,v5.2,MODIFIED,FORCE_MAJEURE,,upgrade-report,
AREA,v5.6,ADDED,,,ddl,
AREA,v5.6,ADDED,MARKET_CONFIG,Public,upgrade-report,
AUCTION_IC_ALLOCATIONS,v4.29,MODIFIED,IRAUCTION,,upgrade-report,
AVERAGEPRICE30,v5.0,MODIFIED,TRADING_DATA,,upgrade-report,
BIDDAYOFFER,v5.0,MODIFIED,BIDS,,upgrade-report,
BIDDAYOFFER,v5.3,MODIFIED,BIDS,,upgrade-report,
BIDDAYOFFER,v5.3,RENAMED_FROM,,,sp_rename,-> BIDDAYOFFER_PRE53
BIDDAYOFFER_D,v5.3,MODIFIED,BIDS,,upgrade-report,
BIDDAYOFFER_D,v5.3,RENAMED_FROM,,,sp_rename,-> BIDDAYOFFER_D_PRE53
BIDDAYOFFER_D,v5.3_PreRelease,RENAMED_FROM,,,sp_rename,-> BIDDAYOFFER_D_PRE53
BIDDAYOFFER_D_PRE53,v5.3,RENAMED_TO,,,sp_rename,<- BIDDAYOFFER_D
BIDDAYOFFER_D_PRE53,v5.3_PreRelease,RENAMED_TO,,,sp_rename,<- BIDDAYOFFER_D
BIDDAYOFFER_PRE53,v5.3,RENAMED_TO,,,sp_rename,<- BIDDAYOFFER
BIDOFFERFILETRK,v5.0,MODIFIED,BIDS,,upgrade-report,
BIDOFFERFILETRK,v5.1,MODIFIED,BIDS,,upgrade-report,
BIDOFFERPERIOD,v5.0,MODIFIED,BIDS,,upgrade-report,
BIDOFFERPERIOD,v5.3,MODIFIED,BIDS,,upgrade-report,
BIDOFFERPERIOD,v5.3,RENAMED_FROM,,,sp_rename,-> BIDOFFERPERIOD_PRE53
BIDOFFERPERIOD,v5.5,MODIFIED,BIDS,Private & Public,upgrade-report,
BIDOFFERPERIOD_PRE53,v5.3,RENAMED_TO,,,sp_rename,<- BIDOFFERPERIOD
BIDPEROFFER_D,v5.3,MODIFIED,BIDS,,upgrade-report,
BIDPEROFFER_D,v5.3,RENAMED_FROM,,,sp_rename,-> BIDPEROFFER_D_PRE53
BIDPEROFFER_D,v5.3_PreRelease,RENAMED_FROM,,,sp_rename,-> BIDPEROFFER_D_PRE53
BIDPEROFFER_D,v5.6,MODIFIED,,Public,upgrade-report,
BIDPEROFFER_D_PRE53,v5.3,RENAMED_TO,,,sp_rename,<- BIDPEROFFER_D
BIDPEROFFER_D_PRE53,v5.3_PreRelease,RENAMED_TO,,,sp_rename,<- BIDPEROFFER_D
BILLINGASPAYMENTS,v5.2,MODIFIED,BILLING_RUN,,upgrade-report,
BILLINGASRECOVERY,v5.2,MODIFIED,BILLING_RUN,,upgrade-report,
BILLINGASRECOVERY,v5.3,MODIFIED,BILLING_RUN,,upgrade-report,
BILLINGASRECOVERY,v5.5,MODIFIED,BILLING_RUN,Private,upgrade-report,
BILLINGCPDATA,v5.0,MODIFIED,BILLING_RUN,,upgrade-report,
BILLINGCPDATA,v5.2,MODIFIED,BILLING_RUN,,upgrade-report,
BILLINGIRPARTSURPLUSSUM,v4.29,MODIFIED,BILLING_RUN,,upgrade-report,
BILLINGREGIONFIGURES,v5.1,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_APC_COMPENSATION,v4.26,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_APC_RECOVERY,v4.26,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_APC_RECOVERY,v5.3,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_DAILY_ENERGY_SUMMARY,v5.3,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_DIRECTION_RECON_OTHER,v5.3,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_DIR_FINAL_AMOUNT,v5.2,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_DIR_FINAL_RECOVERY,v5.2,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_DIR_PROV_AMOUNT,v5.2,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_DIR_PROV_RECOVERY,v5.2,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_DIR_RECOVERY_DETAIL,v5.2,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_EFTSHORTFALL_AMOUNT,v4.27,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_EFTSHORTFALL_DETAIL,v4.27,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_ENERGY_GENSET_DETAIL,v5.3,ADDED,,,ddl,
BILLING_ENERGY_GENSET_DETAIL,v5.3,ADDED,BILLING_RUN,,upgrade-report,
BILLING_ENERGY_TRANSACTIONS,v5.3,ADDED,,,ddl,
BILLING_ENERGY_TRANSACTIONS,v5.3,ADDED,BILLING_RUN,,upgrade-report,
BILLING_ENERGY_TRAN_SAPS,v5.2,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_FCAS_REG_AMT,v5.5,ADDED,,,ddl,
BILLING_FCAS_REG_AMT,v5.5,ADDED,BILLING_RUN,Private,upgrade-report,
BILLING_FCAS_REG_RESIDAMT,v5.5,ADDED,,,ddl,
BILLING_FCAS_REG_RESIDAMT,v5.5,ADDED,BILLING_RUN,Private,upgrade-report,
BILLING_FPP,v5.5,ADDED,,,ddl,
BILLING_FPP,v5.5,ADDED,BILLING_RUN,Private,upgrade-report,
BILLING_NMAS_MANUAL_PAYMENT,v5.6,ADDED,,,ddl,
BILLING_NMAS_MANUAL_PAYMENT,v5.6,ADDED,BILLING_RUN,Private,upgrade-report,
BILLING_NMAS_MANUAL_RECOVERY,v5.6,ADDED,,,ddl,
BILLING_NMAS_MANUAL_RECOVERY,v5.6,ADDED,BILLING_RUN,Private,upgrade-report,
BILLING_NMAS_TST_PAYMENTS,v5.5,MODIFIED,BILLING_RUN,Private,upgrade-report,
BILLING_NMAS_TST_RECOVERY,v5.3,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_NMAS_TST_RECOVERY,v5.5,MODIFIED,BILLING_RUN,Private,upgrade-report,
BILLING_NMAS_TST_RECVRY_TRK,v5.5,MODIFIED,BILLING_RUN,Public,upgrade-report,
BILLING_SECDEPOSIT_APPLICATION,v4.27,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_SECDEP_INTEREST_PAY,v4.27,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_SECDEP_INTEREST_RATE,v4.27,MODIFIED,BILLING_RUN,,upgrade-report,
