repo,retention_tier,intra_repo_id,path_template_labeled,path_template,filename_template,filename_regex,sample_filename,anomaly,file_count_snapshot,first_seen_snapshot,last_seen_snapshot
Reports,ARCHIVE,Adjusted_Prices_Reports,/Reports/ARCHIVE/Adjusted_Prices_Reports/,/Reports/ARCHIVE/Adjusted_Prices_Reports/,PUBLIC_PRICE_REVISION_DISPATCH_{date}.zip,PUBLIC_PRICE_REVISION_DISPATCH_\d{8}\.zip,PUBLIC_PRICE_REVISION_DISPATCH_20250301.zip,,12,2025-05-01T01:01:00,2026-04-01T01:28:00
Reports,ARCHIVE,Bidmove_Complete,/Reports/ARCHIVE/Bidmove_Complete/,/Reports/ARCHIVE/Bidmove_Complete/,PUBLIC_BIDMOVE_COMPLETE_{date}.zip,PUBLIC_BIDMOVE_COMPLETE_\d{8}\.zip,PUBLIC_BIDMOVE_COMPLETE_20250302.zip,,12,2025-05-02T01:03:00,2026-04-02T01:32:00
Reports,ARCHIVE,Billing,/Reports/ARCHIVE/Billing/,/Reports/ARCHIVE/Billing/,PUBLIC_BILLING_{date}.zip,PUBLIC_BILLING_\d{8}\.zip,PUBLIC_BILLING_20250302.zip,,12,2025-05-02T01:03:00,2026-04-02T01:27:00
Reports,ARCHIVE,Causer_Pays_Scada,/Reports/ARCHIVE/Causer_Pays_Scada/,/Reports/ARCHIVE/Causer_Pays_Scada/,PUBLIC_CAUSER_PAYS_SCADA_{date}.zip,PUBLIC_CAUSER_PAYS_SCADA_\d{8}\.zip,PUBLIC_CAUSER_PAYS_SCADA_20250407.zip,,23,2025-04-21T01:01:00,2025-09-22T01:02:00
Reports,ARCHIVE,DISPATCHFCST,/Reports/ARCHIVE/DISPATCHFCST/,/Reports/ARCHIVE/DISPATCHFCST/,PUBLIC_DISPATCHFCST_{date}.zip,PUBLIC_DISPATCHFCST_\d{8}\.zip,PUBLIC_DISPATCHFCST_20250416.zip,,375,2025-04-18T00:01:00,2026-04-27T00:00:00
Reports,ARCHIVE,Daily_Reports,/Reports/ARCHIVE/Daily_Reports/,/Reports/ARCHIVE/Daily_Reports/,PUBLIC_DAILY_{date}.zip,PUBLIC_DAILY_\d{8}\.zip,PUBLIC_DAILY_20250301.zip,,12,2025-05-01T01:01:00,2026-04-01T01:21:00
Reports,ARCHIVE,DispatchIS_Reports,/Reports/ARCHIVE/DispatchIS_Reports/,/Reports/ARCHIVE/DispatchIS_Reports/,PUBLIC_DISPATCHIS_{date}.zip,PUBLIC_DISPATCHIS_\d{8}\.zip,PUBLIC_DISPATCHIS_20250416.zip,,375,2025-04-18T01:01:00,2026-04-27T01:01:00
Reports,ARCHIVE,Dispatch_IRSR,/Reports/ARCHIVE/Dispatch_IRSR/,/Reports/ARCHIVE/Dispatch_IRSR/,PUBLIC_DISPATCH_IRSR_{date}.zip,PUBLIC_DISPATCH_IRSR_\d{8}\.zip,PUBLIC_DISPATCH_IRSR_20250416.zip,,375,2025-04-18T01:01:00,2026-04-27T01:01:00
Reports,ARCHIVE,Dispatch_Negative_Residue,/Reports/ARCHIVE/Dispatch_Negative_Residue/,/Reports/ARCHIVE/Dispatch_Negative_Residue/,DISPATCH_NEGATIVE_RESIDUE_{date}.zip,DISPATCH_NEGATIVE_RESIDUE_\d{8}\.zip,DISPATCH_NEGATIVE_RESIDUE_20250416.zip,casing_mismatch_vs_sibling_tier,375,2025-04-18T01:01:00,2026-04-27T01:01:00
Reports,ARCHIVE,Dispatch_Reports,/Reports/ARCHIVE/Dispatch_Reports/,/Reports/ARCHIVE/Dispatch_Reports/,PUBLIC_DISPATCH_{date}.zip,PUBLIC_DISPATCH_\d{8}\.zip,PUBLIC_DISPATCH_20250416.zip,,375,2025-04-18T01:01:00,2026-04-27T01:01:00
